Year,Percentage,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and older,Total 16 to 24,Total 25 and older,"Total,
16 years
and older"
2010,81.2,0,0,0,0,0,0,0,0,0,0
2010,95.3,0,0,0,0,0,0,0,0,0,0
2010,94.6,0,0,0,0,0,0,0,0,0,0
2010,93.8,0,0,0,0,0,0,0,0,0,0
2010,80.5,0,0,0,0,0,0,0,0,0,0
2010,90.8,0,0,0,0,0,0,0,0,0,0
2010,79.9,0,0,0,0,0,0,0,0,0,0
2010,76.5,0,0,0,0,0,0,0,0,0,0
2010,75.2,0,0,0,0,0,0,0,0,0,0
2010,75.7,0,0,0,0,0,0,0,0,0,0
2011,82.2,0,0,0,0,0,0,0,0,0,0
2011,92.5,0,0,0,0,0,0,0,0,0,0
2011,88.6,0,0,0,0,0,0,0,0,0,0
2011,93.2,0,0,0,0,0,0,0,0,0,0
2011,81.0,0,0,0,0,0,0,0,0,0,0
2011,92.3,0,0,0,0,0,0,0,0,0,0
2011,78.5,0,0,0,0,0,0,0,0,0,0
2011,76.0,0,0,0,0,0,0,0,0,0,0
2011,75.1,0,0,0,0,0,0,0,0,0,0
2011,80.9,0,0,0,0,0,0,0,0,0,0
2012,80.9,0,0,0,0,0,0,0,0,0,0
2012,88.9,0,0,0,0,0,0,0,0,0,0
2012,88.5,0,0,0,0,0,0,0,0,0,0
2012,89.0,0,0,0,0,0,0,0,0,0,0
2012,79.9,0,0,0,0,0,0,0,0,0,0
2012,90.2,0,0,0,0,0,0,0,0,0,0
2012,78.1,0,0,0,0,0,0,0,0,0,0
2012,75.1,0,0,0,0,0,0,0,0,0,0
2012,76.2,0,0,0,0,0,0,0,0,0,0
2012,77.6,0,0,0,0,0,0,0,0,0,0
2013,82.1,0,0,0,0,0,0,0,0,0,0
2013,88.3,0,0,0,0,0,0,0,0,0,0
2013,89.7,0,0,0,0,0,0,0,0,0,0
2013,89.8,0,0,0,0,0,0,0,0,0,0
2013,81.1,0,0,0,0,0,0,0,0,0,0
2013,89.4,0,0,0,0,0,0,0,0,0,0
2013,80.2,0,0,0,0,0,0,0,0,0,0
2013,76.6,0,0,0,0,0,0,0,0,0,0
2013,77.1,0,0,0,0,0,0,0,0,0,0
2013,73.7,0,0,0,0,0,0,0,0,0,0
2014,82.5,0,0,0,0,0,0,0,0,0,0
2014,91.5,0,0,0,0,0,0,0,0,0,0
2014,91.1,0,0,0,0,0,0,0,0,0,0
2014,92.3,0,0,0,0,0,0,0,0,0,0
2014,81.6,0,0,0,0,0,0,0,0,0,0
2014,89.9,0,0,0,0,0,0,0,0,0,0
2014,81.0,0,0,0,0,0,0,0,0,0,0
2014,77.2,0,0,0,0,0,0,0,0,0,0
2014,76.4,0,0,0,0,0,0,0,0,0,0
2014,78.6,0,0,0,0,0,0,0,0,0,0
2015,81.1,0,0,0,0,0,0,0,0,0,0
2015,88.2,0,0,0,0,0,0,0,0,0,0
2015,89.4,0,0,0,0,0,0,0,0,0,0
2015,89.7,0,0,0,0,0,0,0,0,0,0
2015,80.4,0,0,0,0,0,0,0,0,0,0
2015,89.6,0,0,0,0,0,0,0,0,0,0
2015,81.8,0,0,0,0,0,0,0,0,0,0
2015,76.8,0,0,0,0,0,0,0,0,0,0
2015,73.7,0,0,0,0,0,0,0,0,0,0
2015,73.8,0,0,0,0,0,0,0,0,0,0
2016,81.9,0,0,0,0,0,0,0,0,0,0
